Código;Descrição Resumida
100001644;MOTOR ESMERIL BLINDADO 02 REBOLOS 3600RPM 1/2CV
100005843;TANQUINHO LAVADEIRA
100005273;LAVADORA ROUPAS DOMESTICA 11 KG 110V
100005070;LAVADORA ROUPAS - USO DIRETORIA ATENÇAO SAUDE
100005006;LAVADORA ROUPAS 15KG 110V
100004477;SECADORA ROUPAS DOMESTICA PISO 11KG 220V
100004476;SECADORA ROUPAS DOMESTICA PISO 11KG 127V
100004468;LAVADORA ROUPAS DOMESTICA 12KG 220V
100004467;LAVADORA ROUPAS DOMESTICA 12KG 110V
100004217;LAVADORA ROUPAS 6 KG
100003689;LAVADORA ROUPAS 10KG 127V
100003443;LAVADORA ROUPAS PROFISSIONAL TIPO HORIZONTAL C/ BARREIRAS ANTI-INFECÇAO HOSPITALAR 50KG
100003276;LAVADORA ROUPAS HOSPITALAR TIPO HORIZONTAL 100KG
100003101;SECADORA ROUPAS DOMESTICA
100002389;CALANDRA P/ PASSAR ROUPA INDUSTRIAL
100002388;SECADORA ROUPAS INDUSTRIAL
100002386;LAVADORA ROUPAS INDUSTRIAL
100002381;CENTRIFUGADORA ROUPAS ELETRICA
100002136;SECADORA ROUPAS PROFISSIONAL TIPO ROTATIVA 20KG
100002133;LAVADORA ROUPAS PROFISSIONAL TIPO HORIZONTAL 50KG.
100000129;TANQUINHO LAVADEIRA 04KG 110V
100000065;LAVADORA ROUPAS
100000046;FERRO P/ PASSAR ROUPAS 127V
100005866;MESA MODELAGEM 2,5MX1,4M
100005865;CABIDEIRO TUBO AÇO C/ ACABAMENTO CROMADO
100005864;MANEQUIM PLASTICO FEMININO
100005863;MAQUINA COSTURA TIPO GALONEIRA PONTO CORRENTE BIVOLT 600RPM BAIXO NIVEL RUIDO
100005862;MAQUINA COSTURA TIPO OVERLOCK INDUSTRIAL BIVOLT
100005861;MAQUINA COSTURA TIPO RETA INDUSTRIAL BIVOLT 5.000PT/MIN BAIXO NIVEL RUIDO
100005655;MAQUINA COSTURA PROFISSIONAL
100005653;EMENDA PARLAMENTAR MAQUINA PONTO FIXO RETA INDUSTRIAL
100003562;TEAR PENTE LIÇO MADEIRA 1200MM
100003491;MAQUINA COSTURA PORTATIL 110V
100003343;MAQUINA COSTURA ELETRICA
100002202;MAQUINA VULCANIZAÇAO ELETRICA
100000076;MAQUINA COSTURA SEMI-INDUSTRIAL
100005359;SELADORA P/ EMBALAGENS C/ PEDAL
100003344;MAQUINA SELADORA P/ PLASTICO
100003269;MAQUINA SELADORA P/ PLASTICO C/ PEDAL 110/220V
100002685;MAQUINA SELADORA P/ FILME PVC DIGITAL 110V
100005872;CARRINHO APOIO CABELEIREIRO E SOBRANCELHA
100005871;LAVATORIO P/ CABELO
100005870;CADEIRA MANICURE (MODELO KIT CIRANDINHA)
100005869;CADEIRA CABELEIREIRO E DESIGN DE SOBRANCELHA
100003085;BANCADA C/ ESPELHO P/ CABELEIREIRO
100003084;POLTRONA P/ CABELEIREIRO
100003083;LAVATORIO P/ CABELEIREIRO
100006429;MAQUINA P/ TRICOTOMIA
100004559;MAQUINA P/ CORTE CABELO PROFISSIONAL
100003561;GARRA P/ SEREGRAFIA CHAPA AÇO
100003560;MESA REVELAÇAO P/ SERIGRAFIA 700 X 700MM
100003559;MESA TERMICA P/ IMPRESSAO SERIGRAFIA 6 BERÇOS
100004145;CENTRIFUGA RADIAL MANUAL C/ ENGRENAGEM P/ 8 QUADROS MELGUEIRA
100006215;PULVERIZADOR P/ INSETICIDAS TIPO COSTAL RESERVATRIO POLIETILENO 10L
100005662;PULVERIZADOR P/ INSETICIDAS TIPO COSTAL RESERVATORIO AÇO INOXIDAVEL 15L
100005466;TERMONEBULIZADOR FOG APARELHO PORTATIL
100004262;FORMAO APICULTOR
100004261;FUMEGADOR ALUMINIO LAMINADO P/ APIARIOS
100003907;ARMADILHA LUMINOSA TIPO CDC
100003617;PULVERIZADOR P/ INSETICIDAS TIPO COSTAL PLASTICO REFORÇADO 6L
100003107;PULVERIZADOR P/ INSETICIDAS AGRICOLA
100002981;PULVERIZADOR P/ INSETICIDAS TIPO COSTAL RESERVATORIO POLIETILENO 15L
100002980;PULVERIZADOR P/ INSETICIDAS TIPO COSTAL RESERVATORIO POLIETILENO 5L
100002338;PULVERIZADOR P/ INSETICIDAS TIPO COSTAL RESERVATRIO POLIETILENO 20L
100005957;MOTOSSERRA GASOLINA
100005956;MOTOPODA GASOLINA
100005955;ROÇADEIRA LATERAL
100005894;TRITURADOR RESIDUOS ORGANICOS ELETRICO BIVOLT 2HP
100005893;TRITURADOR GALHOS E FOLHAS MOTOR 4 TEMPOS (GASOLINA) 6HP 3600RPM
100005892;SOPRADOR ELETRICO 110V 60HZ 3000W 270KM/H
100005891;SOPRADOR PROFISSIONAL MOTOR 2 TEMPOS (GASOLINA/OLEO) 2,5 KW/CV 56CM³
100005890;ROÇADEIRA PROFISSIONAL LATERAL 2 TEMPOS (GASOLINA/OLEO) 35CM³
100005889;MOTOSSERRA MOTOR 2 TEMPOS (GASOLINA/OLEO) 60CM
100005888;MOTOSSERRA MOTOR 2 TEMPOS (GASOLINA/OLEO) 40CM
100005887;MOTOPODA MOTOR 2 TEMPOS (GASOLINA/OLEO)
100005842;ROÇADEIRA MANUAL GASOLINA
100004028;ROÇADEIRA MANUAL GASOLINA CARRETEL NYLON OU LAMINA
100004009;CACHEPO QUADRADA MADEIRA 40L
100004008;CACHEPO TRAPEZOIDAL AÇO CORTEN OXIDADO 80CM
100004007;CACHEPO QUADRADO AÇO CORTEN OXIDADO 40CM
100003351;APARADOR GRAMA MANUAL
100003133;APARADOR GRAMA ELETRICO
100002829;ROÇADEIRA MANUAL ELETRICA
100002596;APARADOR GRAMA MANUAL CORTE 350MM
100002380;ROÇADEIRA ELETRICA
100002331;MAQUINA TRITURADORA P/ RAÇAO
100002098;ROÇADEIRA MANUAL COSTAL MOTOR GASOLINA
100000378;APARADOR GRAMA MOTORIZADO
100006692;PALETEIRA HIDARULICA MANUAL 3.000 KG
100006534;CARRO PORTA TALHER BANDEJA
100005984;CARRO CARGA ARMAZEM TUBO AÇO 150KG
100005973;CARRO ESCALADOR ESCADAS
100005272;CARRETA P/ TRANSPORTE
